Account,Token Account,Quantity,Percentage
2nXSqo1RuGojZzpgpDrUDe3aoBFETkovgicCAa8iRVHa,8bzNa92n5T5MB2wMtcApMGXF5p9VZzo7ssfR8Qa8oCx5,350.00,0.00
monf3Q8dwnu8Xx16sYNvn3AsezhmTWYZBrkC9sLZP8o,9eryNP2naKgnJf6zEmG6KqiagU5QHuu89yGHEhnyB1DQ,318.40,0.00
4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,HEXN3mQF94Qu3y89WEyUcvN7KrmipMutxKqjLCNz3uca,296.00,0.00
2V2nfYvM7jkr1rLKHQLA9m99xdzJ3x1XzmBaDqWcVpht,J1q8QhEM2GMH5kroGbnaChnbgyFpspJrB5ZCU1QniZNS,280.00,0.00
BKLxa1tVAJVMfXasTpYJZzNnWadbBk3BxrzAVAanaxuU,EbQPbp6acXbUo8AUdupCRE4sUAmWuM3pizEwqzPHNNwq,280.00,0.00
G1FG4g8i2K8DixqcMx5asZ6TtAmxVajceyBdhTrsntdR,AdNTCovBxuvELXkXbvUzMALe11BwXb1V3JDVwQZHpZ8Z,273.34,0.00
7dnj9uJQgibMg4AJ8rfhKAD5RMesA7HnNedmnush6AEH,J6rZUdt2vqMgM3NNKSk9H6WwjLQNsHMBn5Vt2KKQ5zCV,260.00,0.00
7TtxyiiJ8jGo8TL1wEhRvzYqty3f4ZY38GvM2sWFySkf,6GwEe3c3ad6h4vnAQRoQ3QcS6VvT3ZXdMgBKfT7NC1z7,260.00,0.00
7sbsQUGGypHRJMwrmjxXcr8MQfJmqzRyqZv3w3VGJhwr,EHom3rAMGphXT9YHvVVmfYZSeLXizHfmFXVksLpE2fXe,244.12,0.00
2cMhvtdgrBpYEBs6PHYRnrWFi3vYXoSEP59MJyEBeG6N,EtkLKmajVHivHyJKqTB84K3aiq3tDRHTqig4Gv6WzYhf,240.00,0.00
H1oJ18TDPkyRtYJRc1UE4Zf93gLiLFhrdpA9jnR8ZPP5,7TNJ3ykFt413B2bCuEewjXJ1myr7esWXdLieT89bLKnb,225.76,0.00
4H6FMvv375mL76tMTFcPCcYg4arLqRdpcbPhFUNURgjf,26P4eW68y424akoVu5iZ6JtnxLFi9sREPrgiiiXAr2PH,220.28,0.00
H9tgvK2keHjhjGZMptLCoXfYeceeM4judcQZ6WG8qAj5,CfJCkdRHx6zpYaop7jWEarAJAhVLALrAzJXLM7GcfmE7,220.00,0.00
ASF3M9SXSmuobEFg1uk2P6agRdkMWSeoCYkZu17rtnMt,FTy5Hj5MJ1kNd87U5DrfW6pwDPatQrn6FoHDZU8inuSG,214.00,0.00
EYzx42Pc2CKd4xMZmwQSmLMgdMxQjr6PvurysVKAFRFF,DpdjmJ7gyFuiDs4qVVCmTTZwqE22uuii1sWNzjVy6Fdn,200.00,0.00
BohjgmbjM3TRt2Q4zjkYrNJzUBqWxFNwoM1dKVRdDdRY,6uZqoh9ixkQGkwqoeFM3STuzSUhZMegRtaGwvCxb1azx,200.00,0.00
5hPtBzn75mq5kJfTRHb5oT17hJxdSqQg4MS6meoy8dVD,CajXJTWNs7kGhJjdHo7TgDfvVeyDtyCpohSNa5xgrCJY,200.00,0.00
6RpmFafqhvdNwMXaexQyJ8Vn2cuaVHqLjQTYu7nbufpZ,4RE19kZkvjcYCeVwrd4RpjoQRmuKJVc3WSASK7WoS5A4,200.00,0.00
AyvdpwkeoQryZpDdXhQiGvx9UQqLCBW6LMLKX96P5CBJ,5J1c8QwaMrJXnGERSfti1hnGQrXtcxf4YRMy3iYxLy8R,200.00,0.00
GtE3CSLun4kBfEVkDaSk4mj2QGG7DKJXKin9aZ3BQwPC,iaahx9WVXouxsVj697CZCcNtfEccQQTnVdqfffmoZKM,200.00,0.00
AXSZeaaTeE6zNN6brETuG5MMBg1REziLF3JtLaHcgwWt,99cDKsSKdfBSBEFktoy1ouPrU85caynmo3738tFXxQDi,200.00,0.00
GWUanfm6wqAFRVfH8EfjryQX3uQKwjWZc2k9WqeRW5av,59pAn3WrZgT6rmm9aD87wAGJfjCfWDjH1bhGH3dDJhVw,200.00,0.00
7mW8dV2wzvrmtFF9dAed5P59fD8DvUd4MiR47eQ4pyyR,gj5aV9gFGGx7Fy2y45xwsKXuaoYmxntCiXM5rW57nF5,173.82,0.00
99HxF57Tkb59Mam5JzTtKYvZSbCR1t47KdjpV4VBbuTf,HciVhzTgrQoSd8XUFMpChVNhiTZo5sSoWceoEUpxhAAm,160.00,0.00
Ejsn1duJ7ozyq6QrykZnXnmszejbRoMhvyexiQm3Vaph,DzFrBZXQpSt6Nb3L8R1w4zYqHtVrGSaSLEQjh9pYyEYn,160.00,0.00
EZEg4cuxM1qqPGhrgCjTSdUCPiK9u8Biey5ciDTmxixZ,5EfQteWpCi5GmZBzXLZ9uuSYHtvGFAuB3edBCu6Ge83D,150.00,0.00
CWwKmrM3b2gpMcK8Mvm8CR182LqkUU17sADBwPPFz2T3,5Yris1R38xQoBriPb7UDZvzLrSrQZnRxnSg5JqoG39hi,132.00,0.00
GgK1dZebiYPE1a5Q1CgPCeoCtHNuMsKutp2VSFRcjfyy,7ZUzXxqsbU3oti784u2fUkKm99CA7Nb1b6sqxzdzgofT,127.95,0.00
DWRhd6wTT7FZpQUof3fE7YxkmuXWXVLnnAhXG5X7Kppi,Da7eebkfbb8rCiGzWYNLGhzpqMeEXEfdavjzispELhMn,109.82,0.00
2HW4BLmC1m59NgYaYKz6NNAwNem5Jxo86FM8qiGdQBMG,9UEzHuwdRf3TdH2pyTxRf9frEQ6YqWs4dGTifakf6QX3,100.00,0.00
GrdKBSetYHpyztAp5KfqUt4JDxtMCqBtRZmaGv1m45Uo,82u8B7ryaD3zqtruK3rsx6zJv8nXQCv5E2H5Vvwu7HEN,100.00,0.00
6GtxppVB8ChRycsHEAupjhCgBazJgoerbKzoKyonQ5At,DNFtZLkgn1bvu6Qo7REbArNgUeAgrVkjb9PA54ptpeKF,100.00,0.00
8Dc1YMWTmb8q4mBpNPQg3p4k5q3SCqYVz9taxRG8S85f,DDVU4bsFzuvzAFtJpcGzCLhVDqaPgqjwrwawaa9xNNJe,100.00,0.00
B2DM6aj16kiz2NXNW23ENF53TUQqV7hk8AVE1R5eZLsf,FqCHK9pS5cPm8EA14oCSPKsEme5bWP7ZqrvfRvtp216z,80.00,0.00
FVKjC4TaWMKKa8e953TEpqj1U9KZodGFPWDzHG152Q3a,ByW52KbnUgcXygkWyNvVRH7VLzxs2J3gaV2NeNdbJ8Ld,80.00,0.00
C1dKU41NgZGJDiKVWS2vZJbE3yLUF77gNfWoadZJSfki,2Egz5vno6a47esFsjuhAAH92mn3tvvKW39zrpkG9nj9y,60.00,0.00
CyAPVb9J2bWkF3N9JgP5HLDG4qMcN442b3xuGFvsxQJo,FFgF5dwNrZh2khURc9PmKnWnzfFPPhRKMmkaHEJP1ETa,60.00,0.00
be6xtpFef1ctK1F7edJEvQLy8RSJsvt7Xyk7wP7F3ne,9xCwCGu9WZDyyRhpYtgxLz5JqW5bzZfFafFkpNPE4qNV,50.00,0.00
GTjHzVmfkHMzq7rZpNcJZiGc42X3BuKssuksdSeVSq5h,9RwiZAS7szeuHonsS3PF6oqe2bk61HrWsr5smTci1FQ2,50.00,0.00
Daxb7NpEKCyftGD2TAX222Yav2neGA2tWqn8hhAXyH2F,6k4gWzubxgQvrdjTxEWkisCdt71yuP6qwwtx3N9cNfip,50.00,0.00
9ahJLjqXEPS29gU5aRNTC6dnbGFCqycAoEN5SeirwFLg,DDTyfWdyQ9jQNrhwoEkXRjdrSdMxi5F9TsZFM9bY9xbg,50.00,0.00
HUe6SZUWwahuLPpah99uUZvsD94Zpctt8cu7GFDkuMnD,2y66UPQd1BoeVPdcizawxwptVpauuogKunkxFrNCUtNR,50.00,0.00
8WTA5sbvR4zmWgjEzKPZetvCYZPshFvbCXcwcuMK6MVX,EsS15T7uatRkac3oHX4pcdE2DVKGDPf7biYYcRXoetqf,40.00,0.00
96L1zWYq8GiniNQXLXrSySishWodZGMByVUpmRkvqzyT,8qBNwDeCb1Ax417DTuYcr7vKPwViJAQRT6tusu1U7ibw,30.00,0.00
7Rq5SKvW9nuwo5hXsNkUoxogdYUHqkrLBbRkqHWEQZss,6xCecBzGnoiwuVSYnvdhMQxSfjPKazWYPs3fkdFBe5r7,25.00,0.00
7EY9P9EXxhhJCxqx9eMhRsDfrqpy8t8FnpXdy5ofTmzx,5H9x6E1KnBh87jLyfyb6eNrcZ5MgLzpEc96KhEtU5uwH,25.00,0.00
3YaLQU76ueucDvxqzZLHnj46hdsroXVgH4dKNY5MgKgD,AnqPukWhoarrHWod4PAf6nsrRX7wvaB8Bjtp9r9hq9HS,25.00,0.00
HmgZ2zXYUnpLWMRNuDQaRWWEWERL3MxZn8K1z5iU4tiq,F6sr217pxeQEhD8nGfaWKSowSPkemzjkx34kmL6MsxSW,20.00,0.00
3poGwKDpyH5GPjAhhuEqEhmearmGVVj7qY6zWNT3m5ye,4nwaEJ4DjGu2nFnaxaYb7p6vKAbihNzKkX5fBmuv2zPb,20.00,0.00
CiLLHRDXuYxwZieEAxoMR29YGJvKq16bLp9rJKJUFG9j,Csgy3o15aA29XHcBEedHaiQ7uTbGURvTw1m9tr56jRG3,20.00,0.00
DgqoxuyeMmbAYE1qAXWi5Qubqxg6KEFeoXEBrkQ9b42H,GcVzgWLAM9kpuo3CH66rGzRKJRvZzGZKWREd7kahFgEY,20.00,0.00
4QCcnZS7Auc9ae4RL743W2GMvPmDCGkrxU3QuA7Rkodr,FYoSU7j8ra6XG8CZWdpH7LDvrVFGNqGbqdrHgNhanrqG,14.82,0.00
Cysxv2wmrSJ3GyZ74SyRAPPxZeacVAp65P5C8bTbp76P,Ef5Kahig4aaDtmGJNXSgS9f1RQrXKqKrtXSjixYYUPGA,10.00,0.00
6MDAEysXBp4wyx1kDzA1GBHr2sZLuEZCdH58vkKhhPyR,D1AzKm4PqMn6eesGRz1xFtGbKkzUghW1z12BMLAh1a6i,8.80,0.00
